mtry,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
19,4,11,5.1798219359928465e-8,0.0019136756296923292,accuracy,multiclass,0.6198766141346487,10,0.0011774633482017614,Preprocessor1_Model23
19,4,11,5.1798219359928465e-8,0.0019136756296923292,roc_auc,hand_till,0.7564387757864413,10,0.0013463138457263525,Preprocessor1_Model23
11,34,10,4.8467195402587126e-4,4.295663733080855e-5,accuracy,multiclass,0.47132991041316646,10,0.0015508119591890622,Preprocessor1_Model24
11,34,10,4.8467195402587126e-4,4.295663733080855e-5,roc_auc,hand_till,0.6549830701725678,10,0.0013206536579335397,Preprocessor1_Model24
9,10,14,1.8092324666359945e-10,10.048804635565089,accuracy,multiclass,0.29853565338671717,10,0.0011270872942962394,Preprocessor1_Model25
9,10,14,1.8092324666359945e-10,10.048804635565089,roc_auc,hand_till,0.5,10,0,Preprocessor1_Model25
11,4,8,5.776131434695801e-10,3.015760034406713e-8,accuracy,multiclass,0.29853565338671717,10,0.0011270872942962394,Preprocessor1_Model26
11,4,8,5.776131434695801e-10,3.015760034406713e-8,roc_auc,hand_till,0.5,10,0,Preprocessor1_Model26
20,35,14,1.4010787326219077e-10,1.3673997890792795e-4,accuracy,multiclass,0.29853565338671717,10,0.0011270872942962394,Preprocessor1_Model27
20,35,14,1.4010787326219077e-10,1.3673997890792795e-4,roc_auc,hand_till,0.5,10,0,Preprocessor1_Model27
7,4,1,0.019663752775708275,5.972116052735196,accuracy,multiclass,0.41925317482485186,10,8.039392637705837e-4,Preprocessor1_Model28
7,4,1,0.019663752775708275,5.972116052735196,roc_auc,hand_till,0.5943293910950742,10,0.0012838289143136702,Preprocessor1_Model28
12,13,12,1.7706785184885532e-6,2.624804132891462e-9,accuracy,multiclass,0.504774214497861,10,0.0012934670550961,Preprocessor1_Model29
12,13,12,1.7706785184885532e-6,2.624804132891462e-9,roc_auc,hand_till,0.6996037315817923,10,0.0010666616706252045,Preprocessor1_Model29
15,3,1,2.051449807455817e-8,0.021722789869015456,accuracy,multiclass,0.29853565338671717,10,0.0011270872942962394,Preprocessor1_Model30
15,3,1,2.051449807455817e-8,0.021722789869015456,roc_auc,hand_till,0.5,10,0,Preprocessor1_Model30
