mtry,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
10,35,12,3.309286160049318e-10,1.619540560724979e-4,roc_auc,hand_till,0.5,10,0,Preprocessor1_Model10
24,19,6,8.198802484533648e-9,0.0011022157088873886,accuracy,multiclass,0.2985356954728564,10,0.0011756552030633151,Preprocessor1_Model11
24,19,6,8.198802484533648e-9,0.0011022157088873886,roc_auc,hand_till,0.5,10,0,Preprocessor1_Model11
3,5,5,4.5048488422042124e-4,1.7825755483641783e-9,accuracy,multiclass,0.4019645245336742,10,0.0012124251198289814,Preprocessor1_Model12
3,5,5,4.5048488422042124e-4,1.7825755483641783e-9,roc_auc,hand_till,0.6181102200680745,10,8.008085290312196e-4,Preprocessor1_Model12
3,32,10,1.4945904644728347e-4,5.54862595239501e-7,accuracy,multiclass,0.44206525409343156,10,0.0016433125908857959,Preprocessor1_Model13
3,32,10,1.4945904644728347e-4,5.54862595239501e-7,roc_auc,hand_till,0.6442377080587947,10,8.412365943356706e-4,Preprocessor1_Model13
4,32,10,3.307781918796978e-6,12.659113008008122,accuracy,multiclass,0.4389270199212809,10,0.001385423941487748,Preprocessor1_Model14
4,32,10,3.307781918796978e-6,12.659113008008122,roc_auc,hand_till,0.6291074310274423,10,8.394675120031181e-4,Preprocessor1_Model14
21,5,1,8.810054745551354e-10,0.09991191989956978,accuracy,multiclass,0.2985356954728564,10,0.0011756552030633151,Preprocessor1_Model15
21,5,1,8.810054745551354e-10,0.09991191989956978,roc_auc,hand_till,0.5,10,0,Preprocessor1_Model15
8,13,7,0.011792736082900192,14.935006237326768,accuracy,multiclass,0.45449875031893866,10,0.0011101150720586011,Preprocessor1_Model16
8,13,7,0.011792736082900192,14.935006237326768,roc_auc,hand_till,0.634436186039777,10,8.167606196841355e-4,Preprocessor1_Model16
12,4,3,2.401398245456036e-6,8.731375858085873e-4,accuracy,multiclass,0.41762063268915,10,0.0015423687786660534,Preprocessor1_Model17
12,4,3,2.401398245456036e-6,8.731375858085873e-4,roc_auc,hand_till,0.6053384138512653,10,9.66111260138678e-4,Preprocessor1_Model17
11,6,10,9.37809561104289e-10,3.492497987624282,accuracy,multiclass,0.2985356954728564,10,0.0011756552030633151,Preprocessor1_Model18
11,6,10,9.37809561104289e-10,3.492497987624282,roc_auc,hand_till,0.5,10,0,Preprocessor1_Model18
13,40,2,3.84241652316151e-6,4.855770707199794,accuracy,multiclass,0.39929771849751966,10,0.001206507848160147,Preprocessor1_Model19
13,40,2,3.84241652316151e-6,4.855770707199794,roc_auc,hand_till,0.5995915880027365,10,0.0010279790237560603,Preprocessor1_Model19
13,12,14,0.09665731163601816,0.015026640420022861,accuracy,multiclass,0.8037814202984678,10,0.0014578209919910861,Preprocessor1_Model20
13,12,14,0.09665731163601816,0.015026640420022861,roc_auc,hand_till,0.9275763911982545,10,6.892889289396406e-4,Preprocessor1_Model20
24,12,4,0.0020448889377377914,0.021503295035008665,accuracy,multiclass,0.43777311007834696,10,0.001448424211240105,Preprocessor1_Model21
24,12,4,0.0020448889377377914,0.021503295035008665,roc_auc,hand_till,0.6123613669013661,10,9.192896535129793e-4,Preprocessor1_Model21
12,24,8,2.3690010807767344e-8,3.064088517455236,accuracy,multiclass,0.29926045344933344,10,0.0011733479650250915,Preprocessor1_Model22
